;usa0;usa1;usa2;usa3;usa4;usa5;usa6;usa7;usa8;usa9
eu0;0.270757120136;0.447847020062;0.451113693154;0.453369827024;0.356007158254;0.465328789146;0.477307349509;0.353409760571;0.414457859485;0.442593568363
eu1;0.477012108323;0.403838336529;0.537725478747;0.36719332697;0.453010398129;0.495539251931;0.396412091438;0.440660452182;0.458194497314;0.409857350187
eu2;0.457714303192;0.457539892135;0.518026584063;0.42970764334;0.428686784009;0.484062235628;0.361792847057;0.439036558503;0.437639172624;0.433404207136
eu3;0.374120807309;0.476858652457;0.380473865991;0.491514914691;0.343837845283;0.484284179507;0.497303310141;0.464642421926;0.456979891724;0.502110847831
eu4;0.383114504682;0.458783273156;0.464216193228;0.473886446276;0.412653548761;0.481798972407;0.456623792176;0.43877987737;0.448309120261;0.463823207084
eu5;0.33704428923;0.44557992812;0.469327258353;0.396997991569;0.405861595365;0.459785487358;0.496809639763;0.296877817446;0.449950783853;0.352029189366
eu6;0.493461351441;0.497833701099;0.544263756607;0.495273335644;0.448972830223;0.507973260718;0.452961801872;0.480593548735;0.478239174688;0.502347380538
eu7;0.420317102482;0.34936187524;0.460087105956;0.446957936746;0.341642525797;0.465741597952;0.475499084847;0.4239069519;0.434329732094;0.447923648957
eu8;0.378118284058;0.461469264654;0.504338462856;0.436763383452;0.431853122641;0.513413305335;0.504466826927;0.377400461869;0.474775004231;0.435237974412
eu9;0.328446666318;0.467050550023;0.476821687835;0.483699607804;0.417261532774;0.47775579805;0.488137104997;0.404715555014;0.441236433367;0.455896691987
