;usa0;usa1;usa2;usa3;usa4;usa5;usa6;usa7;usa8;usa9
eu0;0.482214639298;0.413232992267;0.374762322543;0.479336086774;0.438168165213;0.485250709162;0.340847047167;0.517169660541;0.437957926169;0.445066635786
eu1;0.434337133433;0.279002507863;0.314433314109;0.410201365897;0.18189520136;0.313712381514;0.330471131973;0.372273355738;0.396784893725;0.370683527985
eu2;0.38264806444;0.28955654573;0.355790594684;0.420254817941;0.425975581346;0.437037375306;0.272921926993;0.473913911935;0.434984219262;0.393590963866
eu3;0.416846287344;0.406867521003;0.43159247116;0.319839934324;0.424198060937;0.375899691056;0.417062271594;0.458631479844;0.398612971001;0.263288491653
eu4;0.480313984008;0.417709891429;0.364546755965;0.33572132446;0.394934234118;0.39143243252;0.445414515458;0.466978207762;0.188669290099;0.379139842862
eu5;0.396387469684;0.222309138788;0.409356155721;0.453675010846;0.417831285122;0.449862496446;0.224212377044;0.443753457564;0.436795777198;0.352186168567
eu6;0.233641123616;0.367333915885;0.40945352119;0.374121314112;0.43079224684;0.388554556661;0.378400918095;0.451631274332;0.397380805256;0.313769044222
eu7;0.439080238894;0.337513900165;0.412889153631;0.423324228596;0.373315870571;0.430271443663;0.389054261772;0.270458593942;0.370264079246;0.246390328097
eu8;0.472197051124;0.356137149535;0.172009183413;0.460147698074;0.295541242431;0.454376404758;0.372262570117;0.449071242111;0.446679272228;0.449650576263
eu9;0.51122587979;0.459029223316;0.37625609582;0.475153544034;0.441338017345;0.489509271738;0.454245598068;0.499734779636;0.290778624237;0.428213851213
