;usa0;usa1;usa2;usa3;usa4;usa5;usa6;usa7;usa8;usa9
eu0;0.383122132338;0.272825842241;0.454866372262;0.345687415328;0.453023021755;0.480495894042;0.369974450728;0.429404200247;0.40519797335;0.433174369819
eu1;0.381327802575;0.489429598384;0.394739102357;0.45600372226;0.25396423667;0.393672966383;0.398178006173;0.395673013769;0.422195806604;0.37783141339
eu2;0.233134548049;0.427525530272;0.418726203295;0.490217409478;0.493310318023;0.446398796005;0.464911262916;0.459253895751;0.349361078345;0.386882150648
eu3;0.43316090041;0.50459666931;0.424818509186;0.506597785065;0.294806152222;0.460900579047;0.449469312252;0.460068264652;0.439315997623;0.476948282807
eu4;0.352977587009;0.434031369063;0.382514577795;0.424795784173;0.386586212945;0.383246946994;0.395173259896;0.363301740909;0.413791514718;0.340468119506
eu5;0.326729128114;0.366760769935;0.407715486472;0.424871330456;0.431662748208;0.408449670276;0.33724939721;0.398369215875;0.387154021251;0.421093535121
eu6;0.31606648192;0.411582299475;0.425851502424;0.438067254692;0.447759607808;0.441439213113;0.300490941472;0.406079374196;0.418870482024;0.392788816849
eu7;0.266783517651;0.349437644413;0.429210233314;0.411440582019;0.436631516474;0.435199783778;0.308917992702;0.371110111667;0.41187076638;0.400945962525
eu8;0.325456105301;0.445228108492;0.219166805059;0.452328761095;0.393360668048;0.268561767624;0.433454492285;0.372953898847;0.219031456168;0.286408648268
eu9;0.219804411922;0.373905037269;0.373135169617;0.394708897983;0.372055184021;0.396971111345;0.374817842622;0.355603042241;0.368607305208;0.312364963457
